State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Aug 11 2021,147541,122697,270
United States,Aug 10 2021,143746,119402,183
United States,Aug  9 2021,96584,115426,82
United States,Aug  8 2021,94073,116784,42
United States,Aug  7 2021,120662,112355,99
United States,Aug  6 2021,126423,106676,7773
United States,Aug  5 2021,129852,103768,234
United States,Aug  4 2021,124477,99460,333
United States,Aug  3 2021,115915,94648,322
United States,Aug  2 2021,106092,90754,25
United States,Aug  1 2021,63068,86026,44
United States,Jul 31 2021,80911,83229,164
United States,Jul 30 2021,106064,79229,334
United States,Jul 29 2021,99697,73934,229
United States,Jul 28 2021,90794,70180,120
United States,Jul 27 2021,88653,66070,142
United States,Jul 26 2021,72995,60951,36
United States,Jul 25 2021,43489,57195,28
United States,Jul 24 2021,52916,55064,122
United States,Jul 23 2021,68996,52022,345
United States,Jul 22 2021,73422,48247,283
United States,Jul 21 2021,62022,43576,184
United States,Jul 20 2021,52820,40218,136
United States,Jul 19 2021,46704,37781,266
United States,Jul 18 2021,28571,35398,45
United States,Jul 17 2021,31623,33711,71
United States,Jul 16 2021,42568,32126,42
United States,Jul 15 2021,40729,29997,112
United States,Jul 14 2021,38514,28203,106
United States,Jul 13 2021,35763,25988,0
United States,Jul 12 2021,30021,23871,0
United States,Jul 11 2021,16761,20916,0
United States,Jul 10 2021,20528,19994,0
United States,Jul  9 2021,27667,18916,0
United States,Jul  8 2021,28170,17393,155785
United States,Jul  7 2021,23008,16030,0
United States,Jul  6 2021,20945,14382,0
United States,Jul  5 2021,9336,13673,0
United States,Jul  4 2021,10306,13908,4
United States,Jul  3 2021,12986,13930,0
United States,Jul  2 2021,17000,13942,0
United States,Jul  1 2021,18631,13661,0
United States,Jun 30 2021,11473,13205,0
United States,Jun 29 2021,15979,13531,0
United States,Jun 28 2021,10984,13206,0
United States,Jun 27 2021,10461,12898,0
United States,Jun 26 2021,13071,12665,0
United States,Jun 25 2021,15030,12552,0
United States,Jun 24 2021,15441,12103,0
United States,Jun 23 2021,13752,11778,0
United States,Jun 22 2021,13704,11673,0
United States,Jun 21 2021,8833,11576,0
United States,Jun 20 2021,8828,11528,0
United States,Jun 19 2021,12278,11475,0
United States,Jun 18 2021,11885,11446,0
United States,Jun 17 2021,13172,11729,0
United States,Jun 16 2021,13011,12129,0
United States,Jun 15 2021,13028,12975,0
United States,Jun 14 2021,8495,13187,0
United States,Jun 13 2021,8459,13457,0
United States,Jun 12 2021,12075,13810,0
United States,Jun 11 2021,13865,14160,0
United States,Jun 10 2021,15975,14793,1
United States,Jun  9 2021,18928,15123,464
United States,Jun  8 2021,14515,14785,0
United States,Jun  7 2021,10387,14001,0
United States,Jun  6 2021,10927,13802,0
United States,Jun  5 2021,14528,13929,0
United States,Jun  4 2021,18297,14109,0
United States,Jun  3 2021,18280,14946,0
United States,Jun  2 2021,16564,15482,0
United States,Jun  1 2021,9028,16467,0
United States,May 31 2021,8991,18618,1
United States,May 30 2021,11817,19652,0
United States,May 29 2021,15788,20165,0
United States,May 28 2021,24154,21001,0
United States,May 27 2021,22036,21572,0
United States,May 26 2021,23460,22345,0
United States,May 25 2021,24080,22945,0
United States,May 24 2021,16232,23581,0
United States,May 23 2021,15405,24105,0
United States,May 22 2021,21644,24848,0
United States,May 21 2021,28149,25911,0
United States,May 20 2021,27448,26752,0
United States,May 19 2021,27659,27897,0
United States,May 18 2021,28535,28927,0
United States,May 17 2021,19899,29788,0
United States,May 16 2021,20604,30529,0
United States,May 15 2021,29084,31386,42
United States,May 14 2021,34040,32393,0
United States,May 13 2021,35463,33862,0
United States,May 12 2021,34864,34914,0
United States,May 11 2021,34564,36342,0
United States,May 10 2021,25089,37779,0
United States,May  9 2021,26603,39002,0
United States,May  8 2021,36134,40327,0
United States,May  7 2021,44321,41953,0
United States,May  6 2021,42824,43458,0
United States,May  5 2021,44862,45347,0
United States,May  4 2021,44621,46854,0
United States,May  3 2021,33654,47987,0
United States,May  2 2021,35873,48940,0
United States,May  1 2021,47517,49449,0
United States,Apr 30 2021,54855,49948,0
United States,Apr 29 2021,56050,51184,0
United States,Apr 28 2021,55410,51901,0
United States,Apr 27 2021,52551,53130,0
United States,Apr 26 2021,40327,54380,-9005
United States,Apr 25 2021,39435,53629,0
United States,Apr 24 2021,51008,54893,0
United States,Apr 23 2021,63507,58193,0
United States,Apr 22 2021,61070,59213,0
United States,Apr 21 2021,64017,61055,0
United States,Apr 20 2021,61296,62339,0
United States,Apr 19 2021,35075,64238,0
United States,Apr 18 2021,48281,68015,0
United States,Apr 17 2021,74105,68625,0
United States,Apr 16 2021,70648,67737,0
United States,Apr 15 2021,73968,68940,0
United States,Apr 14 2021,73004,69117,0
